index,jersey_number,player.id,player.name,position.id,position.name,match_id
101,19,6802,Jonathan Castro Otto,5,Left Center Back,9889
101,14,6798,Stanislav Lobotka,10,Center Defensive Midfield,9889
101,18,6797,Daniel Wass,12,Right Midfield,9889
101,26,6799,Brais Méndez Portela,13,Right Center Midfield,9889
101,16,6852,Jozabed Sánchez Ruiz,15,Left Center Midfield,9889
101,11,5516,Pione Sisto Ifolo Emirmija,16,Left Midfield,9889
101,7,6297,Maximiliano Gómez González,22,Right Center Forward,9889
101,10,5217,Iago Aspas Juncal,24,Left Center Forward,9889
2458,1,20055,Marc-André ter Stegen,1,Goalkeeper,9889
2458,2,6374,Nélson Cabral Semedo,2,Right Back,9889
2458,24,6196,Yerry Fernando Mina González,3,Right Center Back,9889
2458,25,6332,Thomas Vermaelen,5,Left Center Back,9889
2458,19,6849,Lucas Digne,6,Left Back,9889
2458,15,5542,José Paulo Bezzera Maciel Júnior,9,Right Defensive Midfield,9889
2458,20,6379,Sergi Roberto Carnicer,11,Left Defensive Midfield,9889
2458,6,6609,Denis Suárez Fernández,14,Center Midfield,9889
2458,11,5477,Ousmane Dembélé,17,Right Wing,9889
2458,17,6402,Francisco Alcácer García,21,Left Wing,9889
2458,10,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,9889
1,13,6730,Rubén Iván Martínez Andrade,1,Goalkeeper,9912
1,2,6738,Juan Francisco Moreno Fuertes,2,Right Back,9912
1,6,6727,Raúl Albentosa Redal,3,Right Center Back,9912
1,24,5537,Fabian Lukas Schär,5,Left Center Back,9912
1,16,6734,Luis Carlos Correia Pinto,6,Left Back,9912
1,20,6729,Guilherme dos Santos Torres,10,Center Defensive Midfield,9912
1,14,6356,Michael Krohn-Dehli,12,Right Midfield,9912
1,22,5582,Celso Borges Mora,16,Left Midfield,9912
1,8,6779,Emre Çolak,19,Center Attacking Midfield,9912
1,7,6732,Lucas Pérez Martínez,22,Right Center Forward,9912
1,19,6774,Borja Valle Balonga,24,Left Center Forward,9912
2,1,20055,Marc-André ter Stegen,1,Goalkeeper,9912
2,2,6374,Nélson Cabral Semedo,2,Right Back,9912
2,3,5213,Gerard Piqué Bernabéu,3,Right Center Back,9912
2,23,5492,Samuel Yves Umtiti,5,Left Center Back,9912
2,18,5211,Jordi Alba Ramos,6,Left Back,9912
2,5,5203,Sergio Busquets i Burgos,10,Center Defensive Midfield,9912
2,4,5470,Ivan Rakitić,13,Right Center Midfield,9912
2,14,3501,Philippe Coutinho Correia,15,Left Center Midfield,9912
2,11,5477,Ousmane Dembélé,17,Right Wing,9912
2,9,5246,Luis Alberto Suárez Díaz,21,Left Wing,9912
2,10,5503,Lionel Andrés Messi Cuccittini,23,Center Forward,9912
3350,1,20055,Marc-André ter Stegen,1,Goalkeeper,9912
3350,2,6374,Nélson Cabral Semedo,2,Right Back,9912
