index,jersey_number,player.id,player.name,position.id,position.name,match_id
2,1,16376,Sophie Baggaley,1,Goalkeeper,19742
2,2,16391,Loren Dykes,2,Right Back,19742
2,5,10171,Frankie Brown,3,Right Center Back,19742
2,3,16381,Gemma Evans,5,Left Center Back,19742
2,7,17274,Poppy Pattinson,6,Left Back,19742
2,20,10095,Julie Biesmans,10,Center Defensive Midfield,19742
2,8,16384,Carla Humphrey,13,Right Center Midfield,19742
2,14,16386,Lucy Graham,15,Left Center Midfield,19742
2,16,16382,Heather Payne,17,Right Wing,19742
2,10,16388,Ella Rutherford,21,Left Wing,19742
2,9,16390,Juliette Kemppi,23,Center Forward,19742
2480,1,16376,Sophie Baggaley,1,Goalkeeper,19742
2480,6,16383,Danique Kerkdijk,3,Right Center Back,19742
2480,5,10171,Frankie Brown,4,Center Back,19742
2480,3,16381,Gemma Evans,5,Left Center Back,19742
2480,2,16391,Loren Dykes,7,Right Wing Back,19742
