player_id,team_id,player_name,player_nickname,jersey_number,country.id,country.name,position_id,position,from,to,from_period,to_period,start_reason,end_reason,match_id
26009,422,Roberto Soldado Rillo,Roberto Soldado,18,214,Spain,23,Center Forward,00:00,79:13,1,2,Starting XI,Substitution - Off (Tactical),68327
3064,207,David Josué Jiménez Silva,David Silva,21,214,Spain,19,Center Attacking Midfield,00:00,,1,,Starting XI,Final Whistle,68328
5216,217,Andrés Iniesta Luján,Andrés Iniesta,24,214,Spain,10,Center Defensive Midfield,45:00,,2,,Substitution - On (Tactical),Final Whistle,68328
5503,217,Lionel Andrés Messi Cuccittini,Lionel Messi,19,11,Argentina,17,Right Wing,00:00,84:14,1,2,Starting XI,Substitution - Off (Tactical),68328
5558,217,Rafael Márquez Álvarez,Rafael Márquez,4,147,Mexico,5,Left Center Back,00:00,,1,,Starting XI,Final Whistle,68328
6651,207,Joaquín Sánchez Rodríguez,Joaquín,15,214,Spain,17,Right Wing,00:00,,1,,Starting XI,Final Whistle,68328
7030,207,Raúl Albiol Tortajada,Raúl Albiol,20,214,Spain,3,Right Center Back,00:00,74:38,1,2,Starting XI,Substitution - Off (Tactical),68328
7476,207,Emiliano Moretti,,24,112,Italy,6,Left Back,00:00,,1,,Starting XI,Final Whistle,68328
12737,207,David Villa Sánchez,David Villa,7,214,Spain,23,Center Forward,00:00,77:11,1,2,Starting XI,Substitution - Off (Tactical),68328
15774,217,Gianluca Zambrotta,,11,112,Italy,2,Right Back,00:00,,1,,Starting XI,Final Whistle,68328
17797,217,Giovanni van Bronckhorst,Giovanni van Bronckhorst,12,160,Netherlands,6,Left Back,00:00,,1,,Starting XI,Final Whistle,68328
19298,217,"Samuel Eto""o Fils",Samuel Eto'o,9,39,Cameroon,23,Center Forward,00:00,,1,,Starting XI,Final Whistle,68328
19579,207,José Santiago Cañizares Ruíz,Santiago Cañizares,1,214,Spain,1,Goalkeeper,00:00,,1,,Starting XI,Final Whistle,68328
19757,217,Anderson Luís de Souza,Deco,20,183,Portugal,15,Left Center Midfield,00:00,,1,,Starting XI,Final Whistle,68328
20070,207,Luís Miguel Brito Garcia Monteiro,Miguel Monteiro,2,183,Portugal,2,Right Back,00:00,,1,,Starting XI,Final Whistle,68328
20124,207,Vicente Rodríguez Guillén,Vicente Rodríguez,14,214,Spain,21,Left Wing,00:00,,1,,Starting XI,Final Whistle,68328
20125,217,Carles Puyol i Saforcada,Carles Puyol,5,214,Spain,3,Right Center Back,00:00,,1,,Starting XI,Final Whistle,68328
20128,207,David Albelda Aliqués,David Albelda,6,214,Spain,9,Right Defensive Midfield,00:00,89:46,1,2,Starting XI,Substitution - Off (Tactical),68328
20131,217,Xavier Hernández Creus,Xavi,6,214,Spain,13,Right Center Midfield,00:00,,1,,Starting XI,Final Whistle,68328
20176,217,Víctor Valdés Arribas,Víctor Valdés,1,214,Spain,1,Goalkeeper,00:00,,1,,Starting XI,Final Whistle,68328
25879,217,Ronaldo de Assis Moreira,Ronaldinho,10,31,Brazil,21,Left Wing,00:00,,1,,Starting XI,Final Whistle,68328
25910,217,José Edmílson Gomes de Moraes,Edmilson,15,31,Brazil,10,Center Defensive Midfield,00:00,45:00,1,2,Starting XI,Substitution - Off (Tactical),68328
25962,217,Javier Pedro Saviola Fernández,Javier Saviola,22,11,Argentina,17,Right Wing,84:14,,2,,Substitution - On (Tactical),Final Whistle,68328
26010,207,Hugo Miguel Ferreira Gomes Viana,Hugo Viana,16,183,Portugal,9,Right Defensive Midfield,89:46,,2,,Substitution - On (Tactical),Final Whistle,68328
26011,207,Miguel Ángel Angulo Valderrey,Miguel Angulo,10,214,Spain,23,Center Forward,77:11,,2,,Substitution - On (Tactical),Final Whistle,68328
26012,207,David Navarro Pedrós,David Navarro,17,214,Spain,3,Right Center Back,74:38,,2,,Substitution - On (Tactical),Final Whistle,68328
26014,207,Eduardo César Daude Gaspar,Edu Gaspar,22,31,Brazil,11,Left Defensive Midfield,00:00,,1,,Starting XI,Final Whistle,68328
26016,207,Roberto Fabián Ayala,Roberto Ayala,4,11,Argentina,5,Left Center Back,00:00,,1,,Starting XI,Final Whistle,68328
4324,213,Daniel Alves da Silva,Dani Alves,4,31,Brazil,2,Right Back,00:00,,1,,Starting XI,Final Whistle,68329
4325,217,Thiago Motta,,3,112,Italy,10,Center Defensive Midfield,00:00,,1,,Starting XI,Final Whistle,68329
5216,217,Andrés Iniesta Luján,Andrés Iniesta,24,214,Spain,15,Left Center Midfield,00:00,48:38,1,1,Starting XI,Player Off,68329
5216,217,Andrés Iniesta Luján,Andrés Iniesta,24,214,Spain,15,Left Center Midfield,49:03,,1,,Player On,Final Whistle,68329
5503,217,Lionel Andrés Messi Cuccittini,Lionel Messi,19,11,Argentina,17,Right Wing,00:00,74:34,1,2,Starting XI,Tactical Shift,68329
5503,217,Lionel Andrés Messi Cuccittini,Lionel Messi,19,11,Argentina,21,Left Wing,74:34,,2,,Tactical Shift,Final Whistle,68329
5558,217,Rafael Márquez Álvarez,Rafael Márquez,4,147,Mexico,5,Left Center Back,00:00,,1,,Starting XI,Final Whistle,68329
6821,213,Jesús Navas González,Jesús Navas,15,214,Spain,12,Right Midfield,00:00,,1,,Starting XI,Final Whistle,68329
11270,217,Eiður Smári Guðjohnsen,Eiður Guðjohnsen,7,104,Iceland,23,Center Forward,00:00,82:40,1,2,Starting XI,Substitution - Off (Tactical),68329
15071,217,Lilian Thuram,,21,78,France,3,Right Center Back,00:00,,1,,Starting XI,Final Whistle,68329
15774,217,Gianluca Zambrotta,,11,112,Italy,2,Right Back,29:56,,1,,Substitution - On (Injury),Final Whistle,68329
20131,217,Xavier Hernández Creus,Xavi,6,214,Spain,13,Right Center Midfield,00:00,,1,,Starting XI,Final Whistle,68329
20150,213,Christian Bjørnshøj Poulsen,Christian Poulsen,8,61,Denmark,13,Right Center Midfield,00:00,,1,,Starting XI,Final Whistle,68329
20176,217,Víctor Valdés Arribas,Víctor Valdés,1,214,Spain,1,Goalkeeper,00:00,,1,,Starting XI,Final Whistle,68329
22102,213,Adriano Correia Claro,Adriano,6,31,Brazil,16,Left Midfield,00:00,,1,,Starting XI,Final Whistle,68329
25854,217,Sylvio Mendes Campos Junior,Sylvinho,16,31,Brazil,6,Left Back,00:00,,1,,Starting XI,Final Whistle,68329
25863,217,Juliano Haus Belletti,Juliano Belletti,2,31,Brazil,2,Right Back,00:00,26:57,1,1,Starting XI,Player Off,68329
25863,217,Juliano Haus Belletti,Juliano Belletti,2,31,Brazil,2,Right Back,29:56,29:56,1,1,Player On,Substitution - Off (Injury),68329
25878,217,Ludovic Giuly,,8,78,France,21,Left Wing,74:25,74:34,2,2,Substitution - On (Tactical),Tactical Shift,68329
25878,217,Ludovic Giuly,,8,78,France,17,Right Wing,74:34,,2,,Tactical Shift,Final Whistle,68329
25879,217,Ronaldo de Assis Moreira,Ronaldinho,10,31,Brazil,21,Left Wing,00:00,74:25,1,2,Starting XI,Substitution - Off (Tactical),68329
25942,213,Kepa Blanco Gonzalez,Kepa Blanco,23,214,Spain,15,Left Center Midfield,84:43,84:47,2,2,Substitution - On (Tactical),Tactical Shift,68329
